2025-09-26 00:19:21,364 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:19:36,554 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:19:43,298 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:20:37,474 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:27:30,075 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:27:30,117 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:27:30,126 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:29:06,595 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:29:12,375 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:29:13,979 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:29:17,532 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:33:45,470 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:34:02,529 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:34:58,750 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:35:03,443 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 00:35:09,199 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:40,758 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:44,451 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:44,475 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:47,612 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:47,930 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:47,942 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:51,692 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:52,090 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:10:52,096 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:11:24,071 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:11:25,841 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:11:25,857 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:12:49,424 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:12:49,430 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:12:56,949 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:12:58,367 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:12:58,369 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:01,136 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:01,156 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:03,316 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:03,627 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:06,559 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:07,893 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:08,768 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:08,775 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:12,872 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:13,355 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:13:13,355 | ERROR | restaurant_app | execute_query:2036 | Database operational error: no such column: user_id
2025-09-26 14:24:20,844 | ERROR | werkzeug | _log:97 | Error on request:
Traceback (most recent call last):
  File "C:\Users\Moxir_Coder\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\serving.py", line 370, in run_wsgi
    execute(self.server.app)
  File "C:\Users\Moxir_Coder\AppData\Local\Programs\Python\Python311\Lib\site-packages\werkzeug\serving.py", line 355, in execute
    data = self.rfile.read(10_000_000)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
MemoryError
2025-09-26 15:11:01,330 | ERROR | restaurant_app | news_page:10334 | News page error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:11:01,351 | ERROR | restaurant_app | admin_news_management:15558 | News management page error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:11:01,434 | ERROR | restaurant_app | menu:6179 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:11:01,453 | ERROR | restaurant_app | menu:6194 | Menu fallback error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:21:02,697 | ERROR | restaurant_app | execute_query:2055 | Database operational error: no such column: user_id
2025-09-26 15:21:02,765 | ERROR | restaurant_app | menu:6198 | Menu endpoint error: Could not build url for endpoint 'kafolatlar'. Did you mean 'kafolatlar_page' instead?
2025-09-26 15:21:02,767 | ERROR | restaurant_app | execute_query:2055 | Database operational error: no such column: user_id
