2026-02-05 11:35:17,443 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: users
2026-02-05 11:35:17,443 | WARNING | restaurant_app | ensure_avatar_columns:17782 | Failed to add avatar column to users
2026-02-05 11:35:17,444 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: staff
2026-02-05 11:35:17,444 | WARNING | restaurant_app | ensure_avatar_columns:17782 | Failed to add avatar column to staff
2026-02-05 11:35:17,445 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: couriers
2026-02-05 11:35:17,446 | WARNING | restaurant_app | ensure_avatar_columns:17782 | Failed to add avatar column to couriers
2026-02-05 11:36:32,496 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:32,497 | ERROR | restaurant_app | menu:8791 | Menu endpoint error: no such table: menu_items
2026-02-05 11:36:32,498 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:32,498 | ERROR | restaurant_app | menu:8821 | Menu fallback error: no such table: menu_items
2026-02-05 11:36:32,902 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:32,904 | ERROR | restaurant_app | menu:8791 | Menu endpoint error: no such table: menu_items
2026-02-05 11:36:32,905 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:32,907 | ERROR | restaurant_app | menu:8821 | Menu fallback error: no such table: menu_items
2026-02-05 11:36:33,241 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:33,242 | ERROR | restaurant_app | menu:8791 | Menu endpoint error: no such table: menu_items
2026-02-05 11:36:33,243 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:33,243 | ERROR | restaurant_app | menu:8821 | Menu fallback error: no such table: menu_items
2026-02-05 11:36:33,577 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:33,578 | ERROR | restaurant_app | menu:8791 | Menu endpoint error: no such table: menu_items
2026-02-05 11:36:33,578 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:33,579 | ERROR | restaurant_app | menu:8821 | Menu fallback error: no such table: menu_items
2026-02-05 11:36:33,893 | ERROR | restaurant_app | execute_query:3817 | Database operational error: no such table: menu_items
2026-02-05 11:36:33,894 | ERROR | restaurant_app | menu:8791 | Menu endpoint error: no such table: menu_items
